Date,Open,High,Low,Close,Adj Close,Volume
10/26/2022,150.960007,151.990005,148.039993,149.350006,149.102661,88194300
10/27/2022,148.070007,149.050003,144.130005,144.800003,144.560196,109180200
10/28/2022,148.199997,157.5,147.820007,155.740005,155.482086,164762400
10/31/2022,153.160004,154.240005,151.919998,153.339996,153.086044,97943200
11/1/2022,155.080002,155.449997,149.130005,150.649994,150.400497,80379300
11/2/2022,148.949997,152.169998,145,145.029999,144.78981,93604600
11/3/2022,142.059998,142.800003,138.75,138.880005,138.650009,97918500
11/4/2022,142.089996,142.669998,134.380005,138.380005,138.380005,140716700
11/7/2022,137.110001,139.149994,135.669998,138.919998,138.919998,83374600
11/8/2022,140.410004,141.429993,137.490005,139.5,139.5,85805992
